Sample_ID,Dose_Ratio,SUVmax_Bias_In(%),MAPE_In(%),CR_In(%),SUVmax_Bias_Out(%),MAPE_Out(%),CR_Out(%)
P0017_D10_Z0000,0.100,267.7089,72.1357,100.8780,-16.2569,23.7078,73.9358
P0017_D10_Z0001,0.100,827.1515,75.6069,88.6406,-3.0742,25.6396,79.2556
P0017_D10_Z0002,0.100,248.5346,71.4951,94.1780,-22.2161,22.8562,81.2684
P0017_D10_Z0003,0.100,223.8785,73.4396,79.4294,-19.2576,24.9340,71.5322
P0017_D10_Z0004,0.100,293.7129,79.8404,57.2993,-12.7439,23.7579,81.1905
P0017_D10_Z0005,0.100,528.5004,76.9761,66.4905,3.3619,27.1030,72.8786
P0017_D10_Z0006,0.100,883.8153,76.7074,86.2806,19.3768,23.8890,86.3638
P0017_D10_Z0007,0.100,295.8083,72.9811,78.5565,-15.0213,22.8348,85.0418
P0017_D10_Z0008,0.100,337.5026,74.0463,89.9936,21.5182,27.7428,84.0320
P0017_D10_Z0009,0.100,218.5327,74.3753,88.8337,-21.7036,24.8337,70.6818
P0017_D10_Z0010,0.100,106.8439,71.8951,80.5613,-43.0787,29.0993,79.3120
P0017_D10_Z0011,0.100,122.7562,61.9170,108.7397,6.8486,31.1515,94.0235
P0017_D10_Z0012,0.100,300.8164,63.3457,101.3791,26.8581,31.4183,93.7983
P0017_D10_Z0013,0.100,250.3710,60.1104,89.9681,16.0795,29.8899,80.2025
P0017_D10_Z0014,0.100,300.5235,59.5930,91.6984,3.3438,27.9133,82.5490
P0017_D10_Z0015,0.100,249.0981,62.8742,94.3429,37.0922,34.1165,94.5386
P0017_D10_Z0016,0.100,169.7682,53.6930,86.2578,-6.7161,24.4144,84.1215
P0017_D10_Z0017,0.100,166.5280,57.5226,88.1321,12.1657,28.2541,85.4420
P0017_D10_Z0018,0.100,197.0832,57.6658,98.7110,-7.5212,27.9314,90.2730
P0017_D10_Z0019,0.100,179.5373,55.3327,94.5709,-8.7337,23.9761,96.2908
P0017_D10_Z0020,0.100,203.8794,60.2072,91.9783,1.3545,23.0469,89.8255
P0017_D10_Z0021,0.100,285.0687,58.7319,92.3769,9.5606,24.8998,88.9914
P0017_D10_Z0022,0.100,198.1361,56.6454,107.0656,12.9936,26.4063,98.3260
P0017_D10_Z0023,0.100,249.2065,59.1927,105.6229,15.2263,26.8834,98.4243
P0017_D10_Z0024,0.100,396.6492,58.6722,96.6087,3.6486,25.2887,92.7794
P0017_D10_Z0025,0.100,307.1326,58.7053,97.9610,-0.9421,26.7697,94.6710
P0017_D10_Z0026,0.100,371.2119,62.9128,101.6597,2.7679,27.8306,89.9649
P0017_D10_Z0027,0.100,418.5433,61.4368,116.7562,10.7950,26.3578,101.5976
P0017_D10_Z0028,0.100,258.6155,56.8652,102.0224,6.9393,24.3456,96.2890
P0017_D10_Z0029,0.100,189.7305,56.6558,97.3210,-13.2957,28.4640,86.4425
P0017_D10_Z0030,0.100,149.2837,57.7853,95.7106,-15.2130,27.6179,85.3795
P0017_D10_Z0031,0.100,226.0897,56.5129,98.8624,-16.5703,26.4011,87.2838
P0017_D10_Z0032,0.100,207.3893,58.9860,92.5319,-30.0162,26.7277,79.9866
P0017_D10_Z0033,0.100,131.0997,60.0924,91.9004,-16.3544,27.6028,87.6280
P0017_D10_Z0034,0.100,163.7553,59.1927,98.2750,-15.9578,24.5510,87.8886
P0017_D10_Z0035,0.100,186.9991,66.4137,94.4098,-32.2730,27.3532,85.6833
P0017_D10_Z0036,0.100,196.6895,61.7551,97.0230,-24.5119,26.6182,89.0246
P0017_D10_Z0037,0.100,205.2822,67.9541,94.4014,0.4779,27.9840,86.1729
P0017_D10_Z0038,0.100,426.7215,68.7040,101.2274,23.4169,29.6928,92.8181
P0017_D10_Z0039,0.100,241.3989,65.3207,94.3360,5.6881,29.0539,90.8546
P0017_D10_Z0040,0.100,363.7515,68.1428,95.6917,-12.1000,28.9301,88.1778
P0017_D10_Z0041,0.100,407.2574,71.4505,90.1139,-8.1124,30.1591,87.3827
P0017_D10_Z0042,0.100,311.7912,67.5615,84.8869,1.4277,27.8482,83.5495
P0017_D10_Z0043,0.100,562.8089,69.7093,91.3060,-3.2171,27.3391,84.8531
P0017_D10_Z0044,0.100,219.3791,68.8305,92.4384,-9.0838,27.0346,86.1407
P0017_D10_Z0045,0.100,189.2739,64.9565,104.5747,1.6638,26.5361,94.5728
P0017_D10_Z0046,0.100,212.3806,66.3242,98.0615,15.4026,30.6808,103.1801
P0017_D10_Z0047,0.100,260.8568,73.6835,93.4086,12.5501,34.1975,96.2798
P0017_D10_Z0048,0.100,245.7269,65.3170,93.7113,1.2681,25.7570,94.8548
P0017_D10_Z0049,0.100,232.8223,70.6530,92.1133,9.5205,30.8637,94.0698
P0017_D10_Z0050,0.100,231.7389,74.9255,87.2917,4.4987,28.0616,95.8997
P0017_D10_Z0051,0.100,185.0275,70.0453,95.1566,9.8029,26.5385,102.9406
P0017_D10_Z0052,0.100,171.1684,69.7535,91.7514,-0.6387,28.8275,98.5870
P0017_D10_Z0053,0.100,168.3371,66.9767,89.4001,-6.4709,25.0727,95.1180
P0017_D10_Z0054,0.100,186.2582,68.5420,95.0823,-6.2685,23.5590,100.6820
P0017_D10_Z0055,0.100,183.5975,68.6740,95.2621,-3.0184,26.2139,90.5282
P0017_D10_Z0056,0.100,86.4952,67.8398,89.8242,-34.6101,29.5635,85.5161
P0017_D10_Z0057,0.100,35.9320,56.6518,91.7734,-55.6006,26.6847,84.2352
P0017_D10_Z0058,0.100,17.2722,56.6300,81.0824,-66.3644,25.8997,75.0918
P0017_D10_Z0059,0.100,83.8078,59.9332,91.6510,-25.5323,37.3959,89.2602
P0017_D10_Z0060,0.100,15.5368,59.5218,90.3722,-48.5542,34.0886,88.3762
P0017_D10_Z0061,0.100,19.4236,69.4159,89.1711,-37.2399,43.4583,73.2059
P0017_D10_Z0062,0.100,47.2250,64.8876,92.2419,-12.0018,30.9834,77.2944
P0017_D10_Z0063,0.100,105.3667,74.3105,86.1449,53.0330,36.8926,76.1543
P0017_D10_Z0064,0.100,28.3329,67.0821,78.5821,-46.2294,37.5061,72.5212
P0017_D10_Z0065,0.100,10.0979,74.7981,93.2381,-70.9579,43.8237,79.3877
P0017_D10_Z0066,0.100,91.1288,74.1184,99.2376,-80.4075,32.7252,87.7204
P0017_D10_Z0067,0.100,9.8268,75.5206,98.0978,-71.2915,26.7754,90.5202
P0017_D10_Z0068,0.100,45.5638,74.7166,91.2512,-57.1816,27.2284,88.0549
P0017_D10_Z0069,0.100,59.6891,73.4607,83.2574,-69.7598,26.2467,81.5894
P0017_D10_Z0070,0.100,-25.7368,56.2385,83.1493,-82.8481,49.6650,79.4525
P0017_D10_Z0071,0.100,10.4287,59.8614,67.5316,-67.5472,39.1391,36.2233
P0017_D10_Z0072,0.100,1.3727,47.5945,80.8708,-42.4667,36.0710,51.7538
P0017_D10_Z0073,0.100,32.1119,53.1953,95.2351,-46.1323,33.3848,58.8877
P0017_D10_Z0074,0.100,14.3179,67.3223,89.3734,-74.5429,38.5148,74.5937
P0017_D10_Z0075,0.100,198.3108,83.4204,83.9005,-59.1136,25.2379,79.4846
P0017_D10_Z0076,0.100,259.1079,87.0593,83.7562,-56.6886,23.6141,82.4435
P0017_D10_Z0077,0.100,79.1797,74.4454,77.8535,-24.8998,31.3445,79.8251
P0017_D10_Z0078,0.100,103.7677,71.2738,85.9003,-78.0925,31.4086,75.0038
P0017_D10_Z0079,0.100,152.3327,81.0348,95.3282,-63.7321,29.1069,78.6578
P0017_D10_Z0080,0.100,258.9270,86.8209,104.3735,-36.1556,28.2156,89.7873
P0017_D10_Z0081,0.100,469.5829,89.4733,106.2999,-41.5593,27.4808,79.3778
P0017_D10_Z0082,0.100,426.0179,83.0794,79.4982,-32.6357,25.0822,68.0207
P0017_D10_Z0083,0.100,393.4107,88.2468,74.7749,-16.2233,25.8623,67.9289
P0017_D10_Z0084,0.100,474.3052,98.5661,86.3027,27.1513,28.4408,72.9845
P0017_D10_Z0085,0.100,433.6386,92.8597,110.5061,-9.9473,28.8204,86.8965
P0017_D10_Z0086,0.100,336.3129,88.4345,91.7282,-13.6329,29.2771,82.1537
P0017_D10_Z0087,0.100,110.2029,85.9987,90.2494,-38.9989,27.9553,82.5116
P0017_D10_Z0088,0.100,185.1546,81.7179,96.3072,-17.9970,26.7703,87.0530
P0017_D10_Z0089,0.100,437.2686,94.1780,91.7139,-15.3911,28.6148,80.4518
P0017_D10_Z0090,0.100,436.4203,93.1996,92.4915,-31.0309,31.3645,76.1284
P0017_D10_Z0091,0.100,605.4921,90.0316,99.8796,-10.5909,30.1324,86.6597
P0017_D10_Z0092,0.100,245.7974,87.7887,101.4338,-37.3243,28.4010,81.3872
P0017_D10_Z0093,0.100,73.5919,90.1378,98.8492,-51.3878,31.0877,67.0903
P0017_D10_Z0094,0.100,82.3950,75.3329,88.0074,-79.4792,33.8880,65.7997
P0017_D10_Z0095,0.100,114.5867,80.9431,87.3652,-40.1516,29.4825,67.7831
P0017_D10_Z0096,0.100,398.2975,94.2293,91.6902,-17.4573,26.6985,77.0332
P0017_D10_Z0097,0.100,444.0279,93.4515,101.0774,7.2505,29.7933,79.1840
P0017_D10_Z0098,0.100,364.5438,94.3512,102.3179,-34.0710,28.7575,78.4263
P0017_D10_Z0099,0.100,103.5016,84.4024,93.3629,-66.9988,27.7906,75.3848
P0017_D10_Z0100,0.100,391.8061,93.6227,82.3175,-49.5697,26.2145,72.7409
P0017_D10_Z0101,0.100,526.2543,97.1459,86.5979,-40.8540,27.5361,68.1339
P0017_D10_Z0102,0.100,375.0426,90.3720,95.3273,34.8784,28.1030,71.9798
P0017_D10_Z0103,0.100,479.6248,97.2839,93.9104,-2.2442,30.6947,74.6136
P0017_D10_Z0104,0.100,488.0034,98.9727,98.8220,-4.9239,33.0879,76.8103
P0017_D10_Z0105,0.100,399.2827,93.1110,91.0617,22.7651,28.7931,73.6719
P0017_D10_Z0106,0.100,261.2298,93.5625,90.3393,-20.7915,29.0642,72.6680
P0017_D10_Z0107,0.100,197.2924,91.5038,104.8832,-29.3897,37.2514,79.6769
P0017_D10_Z0108,0.100,313.8104,88.8071,105.6858,-52.6343,30.8140,79.4960
P0017_D10_Z0109,0.100,571.1096,94.3672,98.7035,-14.4416,29.0309,78.1960
P0017_D10_Z0110,0.100,566.9907,98.6350,90.5596,-0.0951,30.2850,72.2211
P0017_D10_Z0111,0.100,480.2642,89.0108,90.7320,-7.5532,28.4926,70.8307
P0017_D10_Z0112,0.100,395.7797,93.8176,95.5817,-6.5888,29.2593,73.8277
P0017_D10_Z0113,0.100,672.6091,96.3349,105.8954,-32.3121,30.7984,70.0595
P0017_D10_Z0114,0.100,422.0310,91.6457,102.7240,-38.2800,27.3119,73.4980
P0017_D10_Z0115,0.100,142.1196,87.9537,94.4775,-34.1933,31.4550,78.6078
P0017_D10_Z0116,0.100,245.9163,96.0553,99.9308,-12.2689,30.0964,72.6842
P0017_D10_Z0117,0.100,386.3046,90.2266,97.0930,-30.6570,27.3359,77.7138
P0017_D10_Z0118,0.100,455.9219,92.0362,99.3406,-28.5650,28.6220,82.8295
P0017_D10_Z0119,0.100,196.1499,85.8925,90.8615,-18.0546,34.3534,76.5778
P0017_D10_Z0120,0.100,120.3754,76.8636,99.5683,7.7700,31.1585,81.4076
P0017_D10_Z0121,0.100,133.8129,79.5987,105.1303,7.9811,37.9393,86.9545
P0017_D10_Z0122,0.100,96.3424,67.8910,123.0599,-3.6964,39.3026,107.1732
P0017_D10_Z0123,0.100,66.2111,70.2680,102.4144,-25.6810,42.8187,89.4944
P0017_D10_Z0124,0.100,2.4060,71.0186,65.4484,-66.3871,40.8714,46.2671
P0017_D10_Z0125,0.100,28.7718,68.9566,43.2860,-78.6494,44.9878,27.4242
P0017_D10_Z0126,0.100,10.1472,74.5055,46.3459,-80.9696,48.9651,32.6553
P0017_D10_Z0127,0.100,198.9809,92.2305,99.4555,-46.2620,37.3401,76.9066
P0017_D10_Z0128,0.100,177.2738,84.1948,106.7203,-17.1524,39.3080,81.8153
P0017_D10_Z0129,0.100,72.7754,62.3144,106.7035,-28.3786,40.9742,85.3486
P0017_D10_Z0130,0.100,100.7206,77.7343,102.7016,-20.8442,47.8219,94.4401
P0017_D10_Z0131,0.100,45.8011,61.8259,98.1430,-12.2573,42.1218,93.3591
P0017_D10_Z0132,0.100,40.8301,62.6316,79.0797,-32.5863,40.8111,75.7330
P0017_D10_Z0133,0.100,139.1095,60.5670,99.0321,88.7396,46.4262,86.8896
P0017_D10_Z0134,0.100,40.1131,62.8413,89.1719,-35.3301,45.3433,70.1555
P0017_D10_Z0135,0.100,72.2058,72.5659,71.1773,-36.9209,40.2589,50.9689
P0017_D10_Z0136,0.100,104.7037,78.0359,76.9930,-55.8959,35.4259,56.3911
P0017_D10_Z0137,0.100,52.1681,72.6191,87.1226,-57.0360,30.6910,69.9696
P0017_D10_Z0138,0.100,62.8692,71.8476,84.7328,-60.5997,39.5704,56.0307
P0017_D10_Z0139,0.100,58.2245,72.0514,75.0453,-56.4635,41.1088,50.7690
P0017_D10_Z0140,0.100,109.0129,75.3593,95.5990,-26.9068,33.5737,66.6183
P0017_D10_Z0141,0.100,173.9023,86.4727,94.4700,-29.6846,33.9253,68.7608
P0017_D10_Z0142,0.100,467.6292,92.2880,97.9936,-38.1054,32.7840,73.1229
P0017_D10_Z0143,0.100,163.4785,92.5874,90.1746,-46.8605,31.0915,76.8713
P0017_D10_Z0144,0.100,466.7074,93.7365,101.4875,-55.9876,31.1885,80.8017
P0017_D10_Z0145,0.100,289.9114,90.8259,94.1728,-37.3850,32.6590,77.5411
P0017_D10_Z0146,0.100,207.3703,89.3110,87.4077,-45.2241,29.8476,72.9665
P0017_D10_Z0147,0.100,479.5051,87.0913,82.9417,80.2678,34.8882,79.7486
P0017_D10_Z0148,0.100,229.8902,86.0498,96.9050,-36.7665,29.3975,81.0909
P0017_D10_Z0149,0.100,195.8794,92.5633,111.3613,-58.6031,29.5914,88.9946
P0017_D10_Z0150,0.100,307.5572,97.4242,92.0784,-44.4523,29.3773,84.0969
P0017_D10_Z0151,0.100,269.3569,89.4052,94.9494,-46.1585,28.3822,79.0838
P0017_D10_Z0152,0.100,613.7192,95.4879,106.8024,-22.0115,30.0411,83.2979
P0017_D10_Z0153,0.100,802.7898,101.5491,101.3183,12.4828,31.6633,81.6523
P0017_D10_Z0154,0.100,554.2084,94.5296,101.2374,-35.9173,29.5419,78.6261
P0017_D10_Z0155,0.100,483.4553,91.7900,91.5698,-38.1663,29.9214,76.4075
P0017_D2_Z0000,0.500,70.5436,29.3319,99.7937,-7.3078,15.4359,85.6795
P0017_D2_Z0001,0.500,82.0996,29.3637,102.1881,-14.6806,15.7018,87.9653
P0017_D2_Z0002,0.500,24.8774,25.6858,100.0278,-25.5251,14.5562,82.5559
P0017_D2_Z0003,0.500,26.4151,27.6984,94.1640,-23.6981,14.6537,77.8760
